"#","Germplasm","Species","Flesh_C","Dataset"
"1","Summit","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"2","Summit","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2010"
"3","Summit","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"4","Lambert","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"5","Lambert","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"6","Regina","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2010"
"7","Regina","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"8","Regina","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"9","Ambrunes","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"10","Ambrunes","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"11","Ambrunes","Prunus avium","1.2","Sweet_cherry_CRS_phenotyping_2010"
"12","Lapins","Prunus avium","2.2","Sweet_cherry_CRS_phenotyping_2011"
"13","Lapins","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2010"
"14","Lapins","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"15","Stella","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2011"
"16","Stella","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"17","Sweetheart","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2010"
"18","Sweetheart","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"19","Sweetheart","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"20","Van","Prunus avium","1.6","Sweet_cherry_CRS_phenotyping_2011"
"21","Van","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"22","Schneiders","Prunus avium","1.2","Sweet_cherry_CRS_phenotyping_2011"
"23","Schneiders","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"24","Bing","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"25","Bing","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"26","Rainier","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"27","Rainier","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"28","Rainier","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"29","Benton","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"30","Benton","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"31","Cashmere","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2011"
"32","Cashmere","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"33","Cashmere","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"34","Chelan","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"35","Chelan","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2010"
"36","Chelan","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"37","Chinook","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"38","Chinook","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"39","Cowiche","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"40","Cowiche","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"41","Cowiche","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"42","Gil Peck","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"43","Glacier","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2011"
"44","Glacier","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"45","Glacier","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"46","Kiona","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2010"
"47","Kiona","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"48","Kiona","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"49","NY 54","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"50","NY 54","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"51","PMR-1","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2010"
"52","PMR-1","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"53","PMR-1","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"54","Schmidt","Prunus avium","1.5","Sweet_cherry_CRS_phenotyping_2011"
"55","Schmidt","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"56","Selah","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"57","Selah","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"58","Tieton","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"59","Tieton","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"60","Tieton","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2010"
"61","Vic","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"62","Vic","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"63","Windsor","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"64","Windsor","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"65","Kordia","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"66","Kordia","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"67","FR1T068","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2010"
"68","FR1T068","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"69","FR1T068","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"70","FR12T078","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2011"
"71","FR12T078","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"72","FR8T012","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"73","FR8T012","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"74","FR12T081","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"75","FR12T081","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"76","FR28T002","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"77","FR1T036","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"78","FR1T036","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"79","FR1T036","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"80","FR1T074","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"81","FR1T074","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"82","FR1T074","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2010"
"83","FR2T063","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"84","FR2T030","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"85","FR2T030","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"86","FR2T030","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"87","FR14T012","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"88","FR3T070","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"89","FR3T070","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2010"
"90","FR3T070","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"91","FR1T035","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"92","FR1T035","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"93","FR1T035","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"94","FR1T066","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"95","FR1T066","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"96","FR1T066","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"97","FR1T069","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"98","FR1T069","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"99","FR1T069","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"100","FR2T058","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"101","FR2T058","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"102","FR2T058","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"103","FR14T100","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"104","FR14T100","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"105","FR20T045","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"106","FR21T040","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"107","FR21T040","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"108","FR31T016","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"109","FR23T097","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"110","FR27T018","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"111","FR27T018","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"112","FR28T001","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"113","FR28T100","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"114","FR28T100","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"115","FR28T101","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"116","FR28T101","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"117","FR28T102","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"118","FR28T104","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"119","FR28T104","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"120","FR28T105","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"121","FR28T105","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"122","FR28T106","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"123","FR28T106","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"124","FR28T107","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"125","FR28T107","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"126","FR28T108","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"127","FR28T108","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"128","FR29T074","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"129","FR29T075","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"130","FR29T075","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2012"
"131","FR29T076","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"132","FR29T076","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"133","FR29T077","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"134","FR29T077","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"135","FR10T098","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"136","FR10T099","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"137","FR10T099","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"138","FR10T101","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"139","FR10T101","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"140","FR11T015","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"141","FR11T015","Prunus avium","2.7","Sweet_cherry_CRS_phenotyping_2010"
"142","FR11T015","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"143","FR11T016","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"144","FR11T016","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"145","FR11T017","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"146","FR11T017","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"147","FR11T017","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"148","FR11T018","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"149","FR11T018","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2010"
"150","FR11T019","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"151","FR11T019","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"152","FR11T025","Prunus avium","1.5","Sweet_cherry_CRS_phenotyping_2010"
"153","FR11T025","Prunus avium","1.6","Sweet_cherry_CRS_phenotyping_2011"
"154","FR11T025","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"155","FR11T026","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"156","FR11T027","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2010"
"157","FR11T027","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"158","FR11T027","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2012"
"159","FR11T028","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"160","FR11T028","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"161","FR11T028","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"162","FR11T029","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"163","FR11T029","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"164","FR11T029","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"165","FR11T030","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"166","FR11T030","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"167","FR11T031","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"168","FR11T031","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"169","FR11T031","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"170","FR11T032","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"171","FR11T032","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"172","FR11T032","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2010"
"173","FR12T001","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"174","FR12T001","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"175","FR12T003","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"176","FR12T004","Prunus avium","2.2","Sweet_cherry_CRS_phenotyping_2011"
"177","FR12T004","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"178","FR12T006","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"179","FR12T006","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"180","FR12T009","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"181","FR12T009","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"182","FR12T011","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"183","FR12T012","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"184","FR12T012","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"185","FR12T056","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"186","FR12T056","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"187","FR12T057","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"188","FR12T058","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"189","FR12T058","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"190","FR12T063","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"191","FR12T063","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"192","FR12T066","Prunus avium","3.5","Sweet_cherry_CRS_phenotyping_2011"
"193","FR12T066","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"194","FR12T067","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2011"
"195","FR12T067","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"196","FR12T068","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"197","FR12T068","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"198","FR12T069","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"199","FR12T071","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"200","FR12T071","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"201","FR12T072","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"202","FR12T072","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"203","FR12T073","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"204","FR12T073","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"205","FR12T074","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"206","FR12T076","Prunus avium","2.7","Sweet_cherry_CRS_phenotyping_2011"
"207","FR12T076","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"208","FR12T077","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"209","FR12T077","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"210","FR12T077","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"211","FR12T080","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"212","FR12T080","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"213","FR12T091","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"214","FR12T091","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"215","FR12T093","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"216","FR12T093","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"217","FR12T094","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"218","FR13T058","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"219","FR13T058","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"220","FR13T061","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2011"
"221","FR13T061","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"222","FR14T056","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2011"
"223","FR14T056","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"224","FR14T057","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"225","FR14T057","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2011"
"226","FR14T060","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"227","FR14T060","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"228","FR14T075","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"229","FR14T075","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"230","FR14T076","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2011"
"231","FR14T076","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"232","FR14T078","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"233","FR14T078","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"234","FR14T079","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"235","FR14T079","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"236","FR14T080","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"237","FR14T080","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
