"#","Germplasm","Species","Harvest_Date","Dataset"
"1","Summit","Prunus avium","6/22/2011","Sweet_cherry_CRS_phenotyping_2011"
"2","Summit","Prunus avium","6/24/2010","Sweet_cherry_CRS_phenotyping_2010"
"3","Lambert","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"4","Lambert","Prunus avium","7/3/2011","Sweet_cherry_CRS_phenotyping_2011"
"5","Regina","Prunus avium","7/11/2010","Sweet_cherry_CRS_phenotyping_2010"
"6","Regina","Prunus avium","7/13/2011","Sweet_cherry_CRS_phenotyping_2011"
"7","Regina","Prunus avium","7/9/2012","Sweet_cherry_CRS_phenotyping_2012"
"8","Ambrunes","Prunus avium","7/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"9","Ambrunes","Prunus avium","7/22/2011","Sweet_cherry_CRS_phenotyping_2011"
"10","Ambrunes","Prunus avium","7/24/2010","Sweet_cherry_CRS_phenotyping_2010"
"11","Lapins","Prunus avium","7/11/2011","Sweet_cherry_CRS_phenotyping_2011"
"12","Lapins","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"13","Lapins","Prunus avium","7/9/2010","Sweet_cherry_CRS_phenotyping_2010"
"14","Stella","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"15","Stella","Prunus avium","7/5/2011","Sweet_cherry_CRS_phenotyping_2011"
"16","Sweetheart","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"17","Sweetheart","Prunus avium","7/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"18","Sweetheart","Prunus avium","7/19/2010","Sweet_cherry_CRS_phenotyping_2010"
"19","Van","Prunus avium","7/5/2011","Sweet_cherry_CRS_phenotyping_2011"
"20","Schneiders","Prunus avium","7/4/2012","Sweet_cherry_CRS_phenotyping_2012"
"21","Bing","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"22","Bing","Prunus avium","6/29/2012","Sweet_cherry_CRS_phenotyping_2012"
"23","Rainier","Prunus avium","7/5/2011","Sweet_cherry_CRS_phenotyping_2011"
"24","Rainier","Prunus avium","7/5/2012","Sweet_cherry_CRS_phenotyping_2012"
"25","Rainier","Prunus avium","7/6/2010","Sweet_cherry_CRS_phenotyping_2010"
"26","Benton","Prunus avium","6/26/2011","Sweet_cherry_CRS_phenotyping_2011"
"27","Benton","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"28","Cashmere","Prunus avium","6/24/2011","Sweet_cherry_CRS_phenotyping_2011"
"29","Cashmere","Prunus avium","6/26/2010","Sweet_cherry_CRS_phenotyping_2010"
"30","Cashmere","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"31","Chelan","Prunus avium","6/17/2011","Sweet_cherry_CRS_phenotyping_2011"
"32","Chelan","Prunus avium","6/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"33","Chelan","Prunus avium","6/18/2010","Sweet_cherry_CRS_phenotyping_2010"
"34","Chinook","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"35","Chinook","Prunus avium","6/25/2011","Sweet_cherry_CRS_phenotyping_2011"
"36","Cowiche","Prunus avium","7/10/2010","Sweet_cherry_CRS_phenotyping_2010"
"37","Cowiche","Prunus avium","7/7/2012","Sweet_cherry_CRS_phenotyping_2012"
"38","Cowiche","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"39","Gil Peck","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"40","Glacier","Prunus avium","6/22/2010","Sweet_cherry_CRS_phenotyping_2010"
"41","Glacier","Prunus avium","6/22/2011","Sweet_cherry_CRS_phenotyping_2011"
"42","Glacier","Prunus avium","6/24/2012","Sweet_cherry_CRS_phenotyping_2012"
"43","Kiona","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"44","Kiona","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"45","Kiona","Prunus avium","6/29/2010","Sweet_cherry_CRS_phenotyping_2010"
"46","NY 54","Prunus avium","6/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"47","NY 54","Prunus avium","6/25/2012","Sweet_cherry_CRS_phenotyping_2012"
"48","PMR-1","Prunus avium","7/4/2010","Sweet_cherry_CRS_phenotyping_2010"
"49","PMR-1","Prunus avium","7/5/2011","Sweet_cherry_CRS_phenotyping_2011"
"50","PMR-1","Prunus avium","7/7/2012","Sweet_cherry_CRS_phenotyping_2012"
"51","Schmidt","Prunus avium","6/24/2011","Sweet_cherry_CRS_phenotyping_2011"
"52","Schmidt","Prunus avium","6/25/2012","Sweet_cherry_CRS_phenotyping_2012"
"53","Selah","Prunus avium","7/5/2012","Sweet_cherry_CRS_phenotyping_2012"
"54","Selah","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"55","Tieton","Prunus avium","6/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"56","Tieton","Prunus avium","6/22/2010","Sweet_cherry_CRS_phenotyping_2010"
"57","Vic","Prunus avium","7/3/2011","Sweet_cherry_CRS_phenotyping_2011"
"58","Vic","Prunus avium","7/5/2012","Sweet_cherry_CRS_phenotyping_2012"
"59","Windsor","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"60","Windsor","Prunus avium","7/1/2011","Sweet_cherry_CRS_phenotyping_2011"
"61","Kordia","Prunus avium","7/5/2012","Sweet_cherry_CRS_phenotyping_2012"
"62","Kordia","Prunus avium","7/8/2011","Sweet_cherry_CRS_phenotyping_2011"
"63","FR1T068","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"64","FR1T068","Prunus avium","7/15/2010","Sweet_cherry_CRS_phenotyping_2010"
"65","FR12T078","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"66","FR8T012","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"67","FR8T012","Prunus avium","7/1/2011","Sweet_cherry_CRS_phenotyping_2011"
"68","FR12T081","Prunus avium","6/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"69","FR12T081","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"70","FR28T002","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"71","FR1T036","Prunus avium","7/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"72","FR1T036","Prunus avium","7/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"73","FR1T036","Prunus avium","7/19/2010","Sweet_cherry_CRS_phenotyping_2010"
"74","FR1T074","Prunus avium","7/15/2010","Sweet_cherry_CRS_phenotyping_2010"
"75","FR1T074","Prunus avium","7/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"76","FR1T074","Prunus avium","7/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"77","FR2T063","Prunus avium","7/10/2012","Sweet_cherry_CRS_phenotyping_2012"
"78","FR2T030","Prunus avium","7/12/2010","Sweet_cherry_CRS_phenotyping_2010"
"79","FR2T030","Prunus avium","7/15/2011","Sweet_cherry_CRS_phenotyping_2011"
"80","FR14T012","Prunus avium","6/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"81","FR3T070","Prunus avium","7/19/2010","Sweet_cherry_CRS_phenotyping_2010"
"82","FR3T070","Prunus avium","7/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"83","FR1T035","Prunus avium","7/14/2010","Sweet_cherry_CRS_phenotyping_2010"
"84","FR1T035","Prunus avium","7/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"85","FR1T035","Prunus avium","7/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"86","FR1T066","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"87","FR1T066","Prunus avium","7/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"88","FR1T066","Prunus avium","7/15/2010","Sweet_cherry_CRS_phenotyping_2010"
"89","FR1T069","Prunus avium","7/15/2010","Sweet_cherry_CRS_phenotyping_2010"
"90","FR1T069","Prunus avium","7/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"91","FR1T069","Prunus avium","7/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"92","FR2T058","Prunus avium","7/10/2011","Sweet_cherry_CRS_phenotyping_2011"
"93","FR2T058","Prunus avium","7/10/2012","Sweet_cherry_CRS_phenotyping_2012"
"94","FR2T058","Prunus avium","7/14/2010","Sweet_cherry_CRS_phenotyping_2010"
"95","FR14T100","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"96","FR14T100","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"97","FR20T045","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"98","FR21T040","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"99","FR21T040","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"100","FR31T016","Prunus avium","7/13/2012","Sweet_cherry_CRS_phenotyping_2012"
"101","FR23T097","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"102","FR27T018","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"103","FR27T018","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"104","FR28T001","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"105","FR28T100","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"106","FR28T100","Prunus avium","7/2/2011","Sweet_cherry_CRS_phenotyping_2011"
"107","FR28T101","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"108","FR28T101","Prunus avium","7/2/2011","Sweet_cherry_CRS_phenotyping_2011"
"109","FR28T102","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"110","FR28T104","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"111","FR28T104","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"112","FR28T105","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"113","FR28T105","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"114","FR28T106","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"115","FR28T106","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"116","FR28T108","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"117","FR28T108","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"118","FR29T074","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"119","FR29T075","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"120","FR29T075","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"121","FR29T076","Prunus avium","6/24/2012","Sweet_cherry_CRS_phenotyping_2012"
"122","FR29T076","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"123","FR29T077","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"124","FR29T077","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"125","FR10T098","Prunus avium","6/30/2012","Sweet_cherry_CRS_phenotyping_2012"
"126","FR10T099","Prunus avium","7/1/2011","Sweet_cherry_CRS_phenotyping_2011"
"127","FR10T099","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"128","FR10T101","Prunus avium","7/1/2011","Sweet_cherry_CRS_phenotyping_2011"
"129","FR11T015","Prunus avium","7/11/2011","Sweet_cherry_CRS_phenotyping_2011"
"130","FR11T015","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"131","FR11T015","Prunus avium","7/13/2010","Sweet_cherry_CRS_phenotyping_2010"
"132","FR11T016","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"133","FR11T016","Prunus avium","7/8/2011","Sweet_cherry_CRS_phenotyping_2011"
"134","FR11T017","Prunus avium","7/11/2010","Sweet_cherry_CRS_phenotyping_2010"
"135","FR11T017","Prunus avium","7/11/2011","Sweet_cherry_CRS_phenotyping_2011"
"136","FR11T017","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"137","FR11T018","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"138","FR11T018","Prunus avium","7/7/2010","Sweet_cherry_CRS_phenotyping_2010"
"139","FR11T019","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"140","FR11T019","Prunus avium","7/8/2011","Sweet_cherry_CRS_phenotyping_2011"
"141","FR11T025","Prunus avium","7/10/2010","Sweet_cherry_CRS_phenotyping_2010"
"142","FR11T025","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"143","FR11T025","Prunus avium","7/8/2011","Sweet_cherry_CRS_phenotyping_2011"
"144","FR11T026","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"145","FR11T027","Prunus avium","7/11/2010","Sweet_cherry_CRS_phenotyping_2010"
"146","FR11T027","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"147","FR11T027","Prunus avium","7/12/2011","Sweet_cherry_CRS_phenotyping_2011"
"148","FR11T028","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"149","FR11T028","Prunus avium","7/8/2010","Sweet_cherry_CRS_phenotyping_2010"
"150","FR11T028","Prunus avium","7/8/2011","Sweet_cherry_CRS_phenotyping_2011"
"151","FR11T029","Prunus avium","7/10/2010","Sweet_cherry_CRS_phenotyping_2010"
"152","FR11T029","Prunus avium","7/12/2011","Sweet_cherry_CRS_phenotyping_2011"
"153","FR11T030","Prunus avium","7/11/2010","Sweet_cherry_CRS_phenotyping_2010"
"154","FR11T030","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"155","FR11T031","Prunus avium","7/12/2010","Sweet_cherry_CRS_phenotyping_2010"
"156","FR11T031","Prunus avium","7/12/2011","Sweet_cherry_CRS_phenotyping_2011"
"157","FR11T031","Prunus avium","7/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"158","FR11T032","Prunus avium","7/12/2010","Sweet_cherry_CRS_phenotyping_2010"
"159","FR11T032","Prunus avium","7/12/2011","Sweet_cherry_CRS_phenotyping_2011"
"160","FR12T001","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"161","FR12T001","Prunus avium","7/2/2011","Sweet_cherry_CRS_phenotyping_2011"
"162","FR12T003","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"163","FR12T004","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"164","FR12T004","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"165","FR12T006","Prunus avium","6/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"166","FR12T006","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"167","FR12T009","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"168","FR12T009","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"169","FR12T011","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"170","FR12T011","Prunus avium","6/29/2010","Sweet_cherry_CRS_phenotyping_2010"
"171","FR12T012","Prunus avium","6/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"172","FR12T012","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"173","FR12T056","Prunus avium","6/26/2011","Sweet_cherry_CRS_phenotyping_2011"
"174","FR12T056","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"175","FR12T057","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"176","FR12T058","Prunus avium","7/1/2011","Sweet_cherry_CRS_phenotyping_2011"
"177","FR12T058","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"178","FR12T063","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"179","FR12T063","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"180","FR12T066","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"181","FR12T066","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"182","FR12T068","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"183","FR12T069","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"184","FR12T071","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"185","FR12T071","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"186","FR12T072","Prunus avium","7/1/2011","Sweet_cherry_CRS_phenotyping_2011"
"187","FR12T072","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"188","FR12T073","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"189","FR12T073","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"190","FR12T076","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"191","FR12T076","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"192","FR12T077","Prunus avium","7/10/2010","Sweet_cherry_CRS_phenotyping_2010"
"193","FR12T077","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"194","FR12T080","Prunus avium","7/11/2011","Sweet_cherry_CRS_phenotyping_2011"
"195","FR12T080","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"196","FR12T091","Prunus avium","6/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"197","FR12T091","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"198","FR12T093","Prunus avium","6/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"199","FR12T093","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"200","FR12T094","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"201","FR13T058","Prunus avium","6/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"202","FR13T058","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"203","FR13T061","Prunus avium","7/2/2011","Sweet_cherry_CRS_phenotyping_2011"
"204","FR13T061","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"205","FR14T056","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"206","FR14T056","Prunus avium","7/8/2011","Sweet_cherry_CRS_phenotyping_2011"
"207","FR14T060","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"208","FR14T060","Prunus avium","7/12/2011","Sweet_cherry_CRS_phenotyping_2011"
"209","FR14T075","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"210","FR14T075","Prunus avium","7/12/2011","Sweet_cherry_CRS_phenotyping_2011"
