"#","Germplasm","Species","Pit_Wt","Dataset"
"1","Summit","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"2","Summit","Prunus avium","0.55","Sweet_cherry_CRS_phenotyping_2010"
"3","Summit","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2011"
"4","Lambert","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"5","Lambert","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"6","Regina","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2011"
"7","Regina","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2012"
"8","Regina","Prunus avium","0.69","Sweet_cherry_CRS_phenotyping_2010"
"9","Ambrunes","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2012"
"10","Ambrunes","Prunus avium","0.55","Sweet_cherry_CRS_phenotyping_2011"
"11","Ambrunes","Prunus avium","0.71","Sweet_cherry_CRS_phenotyping_2010"
"12","Lapins","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"13","Lapins","Prunus avium","0.55","Sweet_cherry_CRS_phenotyping_2011"
"14","Stella","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"15","Stella","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2011"
"16","Sweetheart","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"17","Sweetheart","Prunus avium","0.57","Sweet_cherry_CRS_phenotyping_2010"
"18","Sweetheart","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2011"
"19","Van","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"20","Van","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"21","Schneiders","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"22","Schneiders","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"23","Bing","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"24","Bing","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"25","Rainier","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"26","Rainier","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"27","Rainier","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2010"
"28","Benton","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2011"
"29","Benton","Prunus avium","0.53","Sweet_cherry_CRS_phenotyping_2012"
"30","Cashmere","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"31","Cashmere","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"32","Cashmere","Prunus avium","0.51","Sweet_cherry_CRS_phenotyping_2010"
"33","Chelan","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"34","Chelan","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2010"
"35","Chelan","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2011"
"36","Chinook","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"37","Chinook","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"38","Cowiche","Prunus avium","0.72","Sweet_cherry_CRS_phenotyping_2012"
"39","Cowiche","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2010"
"40","Cowiche","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2011"
"41","Gil Peck","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"42","Glacier","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"43","Glacier","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2010"
"44","Glacier","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2011"
"45","Kiona","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2010"
"46","Kiona","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2012"
"47","Kiona","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2011"
"48","NY 54","Prunus avium","0.22","Sweet_cherry_CRS_phenotyping_2012"
"49","NY 54","Prunus avium","0.27","Sweet_cherry_CRS_phenotyping_2011"
"50","PMR-1","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2012"
"51","PMR-1","Prunus avium","0.68","Sweet_cherry_CRS_phenotyping_2010"
"52","PMR-1","Prunus avium","0.74","Sweet_cherry_CRS_phenotyping_2011"
"53","Schmidt","Prunus avium","0.45","Sweet_cherry_CRS_phenotyping_2011"
"54","Schmidt","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2012"
"55","Selah","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"56","Selah","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2011"
"57","Tieton","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2012"
"58","Tieton","Prunus avium","0.63","Sweet_cherry_CRS_phenotyping_2010"
"59","Tieton","Prunus avium","0.78","Sweet_cherry_CRS_phenotyping_2011"
"60","Vic","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"61","Vic","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"62","Windsor","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"63","Windsor","Prunus avium","0.47","Sweet_cherry_CRS_phenotyping_2011"
"64","Kordia","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2011"
"65","Kordia","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"66","FR1T068","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2010"
"67","FR1T068","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"68","FR1T068","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2011"
"69","FR12T078","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"70","FR12T078","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"71","FR8T012","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"72","FR8T012","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"73","FR12T081","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"74","FR12T081","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2012"
"75","FR28T002","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2012"
"76","FR1T036","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"77","FR1T036","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"78","FR1T036","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2010"
"79","FR1T074","Prunus avium","0.43","Sweet_cherry_CRS_phenotyping_2010"
"80","FR1T074","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2012"
"81","FR1T074","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"82","FR2T063","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"83","FR2T030","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2011"
"84","FR2T030","Prunus avium","0.45","Sweet_cherry_CRS_phenotyping_2010"
"85","FR2T030","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"86","FR14T012","Prunus avium","0.41","Sweet_cherry_CRS_phenotyping_2012"
"87","FR3T070","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2010"
"88","FR3T070","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2011"
"89","FR3T070","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2012"
"90","FR1T035","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"91","FR1T035","Prunus avium","0.43","Sweet_cherry_CRS_phenotyping_2011"
"92","FR1T035","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2010"
"93","FR1T066","Prunus avium","0.45","Sweet_cherry_CRS_phenotyping_2010"
"94","FR1T066","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2011"
"95","FR1T066","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2012"
"96","FR1T069","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2010"
"97","FR1T069","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"98","FR1T069","Prunus avium","0.53","Sweet_cherry_CRS_phenotyping_2011"
"99","FR2T058","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"100","FR2T058","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2010"
"101","FR2T058","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2011"
"102","FR14T100","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"103","FR14T100","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"104","FR20T045","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2012"
"105","FR21T040","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"106","FR21T040","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2011"
"107","FR31T016","Prunus avium","0.45","Sweet_cherry_CRS_phenotyping_2012"
"108","FR23T097","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"109","FR27T018","Prunus avium","0.33","Sweet_cherry_CRS_phenotyping_2011"
"110","FR27T018","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"111","FR28T001","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"112","FR28T100","Prunus avium","0.32","Sweet_cherry_CRS_phenotyping_2011"
"113","FR28T100","Prunus avium","0.34","Sweet_cherry_CRS_phenotyping_2012"
"114","FR28T101","Prunus avium","0.3","Sweet_cherry_CRS_phenotyping_2011"
"115","FR28T101","Prunus avium","0.34","Sweet_cherry_CRS_phenotyping_2012"
"116","FR28T102","Prunus avium","0.28","Sweet_cherry_CRS_phenotyping_2012"
"117","FR28T104","Prunus avium","0.27","Sweet_cherry_CRS_phenotyping_2011"
"118","FR28T104","Prunus avium","0.32","Sweet_cherry_CRS_phenotyping_2012"
"119","FR28T105","Prunus avium","0.3","Sweet_cherry_CRS_phenotyping_2012"
"120","FR28T105","Prunus avium","0.32","Sweet_cherry_CRS_phenotyping_2011"
"121","FR28T106","Prunus avium","0.37","Sweet_cherry_CRS_phenotyping_2012"
"122","FR28T106","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2011"
"123","FR28T107","Prunus avium","0.27","Sweet_cherry_CRS_phenotyping_2011"
"124","FR28T107","Prunus avium","0.34","Sweet_cherry_CRS_phenotyping_2012"
"125","FR28T108","Prunus avium","0.34","Sweet_cherry_CRS_phenotyping_2011"
"126","FR28T108","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"127","FR29T074","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"128","FR29T075","Prunus avium","0.34","Sweet_cherry_CRS_phenotyping_2011"
"129","FR29T075","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"130","FR29T076","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2011"
"131","FR29T076","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"132","FR29T077","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"133","FR29T077","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"134","FR10T098","Prunus avium","0.35","Sweet_cherry_CRS_phenotyping_2012"
"135","FR10T099","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"136","FR10T099","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"137","FR10T101","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"138","FR10T101","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2011"
"139","FR11T015","Prunus avium","0.3","Sweet_cherry_CRS_phenotyping_2010"
"140","FR11T015","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"141","FR11T015","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2011"
"142","FR11T016","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"143","FR11T016","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"144","FR11T017","Prunus avium","0.37","Sweet_cherry_CRS_phenotyping_2010"
"145","FR11T017","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"146","FR11T017","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"147","FR11T018","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"148","FR11T018","Prunus avium","0.41","Sweet_cherry_CRS_phenotyping_2010"
"149","FR11T019","Prunus avium","0.3","Sweet_cherry_CRS_phenotyping_2012"
"150","FR11T019","Prunus avium","0.34","Sweet_cherry_CRS_phenotyping_2011"
"151","FR11T025","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"152","FR11T025","Prunus avium","0.45","Sweet_cherry_CRS_phenotyping_2010"
"153","FR11T025","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"154","FR11T026","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"155","FR11T027","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2010"
"156","FR11T027","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"157","FR11T027","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"158","FR11T028","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"159","FR11T028","Prunus avium","0.41","Sweet_cherry_CRS_phenotyping_2010"
"160","FR11T028","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2011"
"161","FR11T029","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"162","FR11T029","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2011"
"163","FR11T029","Prunus avium","0.41","Sweet_cherry_CRS_phenotyping_2010"
"164","FR11T030","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"165","FR11T030","Prunus avium","0.47","Sweet_cherry_CRS_phenotyping_2010"
"166","FR11T031","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2012"
"167","FR11T031","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"168","FR11T031","Prunus avium","0.51","Sweet_cherry_CRS_phenotyping_2010"
"169","FR11T032","Prunus avium","0.34","Sweet_cherry_CRS_phenotyping_2010"
"170","FR11T032","Prunus avium","0.35","Sweet_cherry_CRS_phenotyping_2012"
"171","FR11T032","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"172","FR12T001","Prunus avium","0.3","Sweet_cherry_CRS_phenotyping_2011"
"173","FR12T001","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"174","FR12T003","Prunus avium","0.3","Sweet_cherry_CRS_phenotyping_2012"
"175","FR12T004","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"176","FR12T004","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"177","FR12T006","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"178","FR12T006","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2012"
"179","FR12T009","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2012"
"180","FR12T009","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"181","FR12T011","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2010"
"182","FR12T011","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2012"
"183","FR12T012","Prunus avium","0.3","Sweet_cherry_CRS_phenotyping_2012"
"184","FR12T012","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"185","FR12T056","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2011"
"186","FR12T056","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"187","FR12T057","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2012"
"188","FR12T058","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"189","FR12T058","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"190","FR12T063","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2012"
"191","FR12T063","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2011"
"192","FR12T066","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"193","FR12T066","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"194","FR12T067","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2011"
"195","FR12T067","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"196","FR12T068","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"197","FR12T068","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"198","FR12T069","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"199","FR12T071","Prunus avium","0.32","Sweet_cherry_CRS_phenotyping_2011"
"200","FR12T071","Prunus avium","0.34","Sweet_cherry_CRS_phenotyping_2012"
"201","FR12T072","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"202","FR12T072","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"203","FR12T073","Prunus avium","0.3","Sweet_cherry_CRS_phenotyping_2012"
"204","FR12T073","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2011"
"205","FR12T074","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"206","FR12T076","Prunus avium","0.3","Sweet_cherry_CRS_phenotyping_2011"
"207","FR12T076","Prunus avium","0.34","Sweet_cherry_CRS_phenotyping_2012"
"208","FR12T077","Prunus avium","0.35","Sweet_cherry_CRS_phenotyping_2010"
"209","FR12T077","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"210","FR12T077","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"211","FR12T080","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"212","FR12T080","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"213","FR12T091","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"214","FR12T091","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"215","FR12T093","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"216","FR12T093","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"217","FR12T094","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"218","FR13T058","Prunus avium","0.45","Sweet_cherry_CRS_phenotyping_2012"
"219","FR13T058","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"220","FR13T061","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"221","FR13T061","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"222","FR14T056","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2012"
"223","FR14T056","Prunus avium","0.78","Sweet_cherry_CRS_phenotyping_2011"
"224","FR14T057","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"225","FR14T057","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2011"
"226","FR14T060","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"227","FR14T060","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2011"
"228","FR14T075","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"229","FR14T075","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2011"
"230","FR14T076","Prunus avium","0.34","Sweet_cherry_CRS_phenotyping_2011"
"231","FR14T076","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"232","FR14T078","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"233","FR14T078","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2012"
"234","FR14T079","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2011"
"235","FR14T079","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"236","FR14T080","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"237","FR14T080","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2011"
