"#","Germplasm","Species","Pit_Wt","Dataset"
"474","FR30T108","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"475","FR30T109","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"476","FR30T109","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"477","FR31T007","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"478","FR31T007","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2012"
"479","FR31T008","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"480","FR31T009","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"481","FR31T010","Prunus avium","0.33","Sweet_cherry_CRS_phenotyping_2012"
"482","FR31T010","Prunus avium","0.35","Sweet_cherry_CRS_phenotyping_2011"
"483","FR31T011","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"484","FR31T013","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"485","FR31T014","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"486","FR33T001","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"487","FR33T004","Prunus avium","0.37","Sweet_cherry_CRS_phenotyping_2011"
"488","FR33T004","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"489","FR33T005","Prunus avium","0.32","Sweet_cherry_CRS_phenotyping_2012"
"490","FR33T005","Prunus avium","0.35","Sweet_cherry_CRS_phenotyping_2011"
"491","FR33T006","Prunus avium","0.3","Sweet_cherry_CRS_phenotyping_2011"
"492","FR33T006","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"493","FR33T007","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"494","FR33T008","Prunus avium","0.32","Sweet_cherry_CRS_phenotyping_2011"
"495","FR33T008","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"496","FR33T011","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2012"
"497","FR35T101","Prunus avium","0.35","Sweet_cherry_CRS_phenotyping_2011"
"498","FR35T101","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"499","FR35T102","Prunus avium","0.37","Sweet_cherry_CRS_phenotyping_2011"
"500","FR35T102","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"501","FR35T103","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"502","FR35T103","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"503","FR35T104","Prunus avium","0.32","Sweet_cherry_CRS_phenotyping_2012"
"504","FR35T104","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"505","FR35T105","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"506","FR35T105","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"507","FR35T108","Prunus avium","0.3","Sweet_cherry_CRS_phenotyping_2011"
"508","FR35T108","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"509","FR35T110","Prunus avium","0.39","Sweet_cherry_CRS_phenotyping_2011"
"510","FR35T110","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"511","FR38T001","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"512","FR38T002","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"513","FR38T003","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"514","FR38T005","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"515","FR3T002","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2011"
"516","FR3T002","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2010"
"517","FR3T003","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"518","FR3T003","Prunus avium","0.43","Sweet_cherry_CRS_phenotyping_2011"
"519","FR3T004","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"520","FR3T004","Prunus avium","0.47","Sweet_cherry_CRS_phenotyping_2010"
"521","FR3T004","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"522","FR3T005","Prunus avium","0.26","Sweet_cherry_CRS_phenotyping_2012"
"523","FR3T005","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"524","FR3T007","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"525","FR3T007","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"526","FR3T008","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"527","FR3T008","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"528","FR3T009","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"529","FR3T009","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2011"
"530","FR3T011","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"531","FR3T013","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"532","FR3T013","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2011"
"533","FR3T014","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2010"
"534","FR3T014","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"535","FR3T014","Prunus avium","0.55","Sweet_cherry_CRS_phenotyping_2012"
"536","FR3T015","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"537","FR3T015","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2011"
"538","FR3T016","Prunus avium","0.24","Sweet_cherry_CRS_phenotyping_2012"
"539","FR3T016","Prunus avium","0.32","Sweet_cherry_CRS_phenotyping_2010"
"540","FR3T016","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2011"
"541","FR3T017","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"542","FR3T018","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2010"
"543","FR3T018","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2012"
"544","FR3T018","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2011"
"545","FR3T019","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"546","FR3T020","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"547","FR3T020","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2010"
"548","FR3T020","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2011"
"549","FR3T021","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"550","FR3T021","Prunus avium","0.47","Sweet_cherry_CRS_phenotyping_2010"
"551","FR3T021","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2012"
"552","FR3T022","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"553","FR3T022","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2012"
"554","FR3T023","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"555","FR3T023","Prunus avium","0.43","Sweet_cherry_CRS_phenotyping_2011"
"556","FR3T025","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2010"
"557","FR3T025","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2011"
"558","FR3T025","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"559","FR3T026","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"560","FR3T026","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"561","FR3T027","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2011"
"562","FR3T027","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"563","FR3T028","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"564","FR3T029","Prunus avium","0.35","Sweet_cherry_CRS_phenotyping_2010"
"565","FR3T029","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"566","FR3T029","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2011"
"567","FR3T030","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2011"
"568","FR3T030","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"569","FR3T031","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2011"
"570","FR3T031","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2012"
"571","FR3T032","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"572","FR3T032","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2011"
"573","FR3T033","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2011"
"574","FR3T033","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"575","FR3T034","Prunus avium","0.47","Sweet_cherry_CRS_phenotyping_2011"
"576","FR3T034","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"577","FR3T043","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2011"
"578","FR3T043","Prunus avium","0.57","Sweet_cherry_CRS_phenotyping_2010"
"579","FR3T043","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2012"
"580","FR3T044","Prunus avium","0.39","Sweet_cherry_CRS_phenotyping_2011"
"581","FR3T044","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"582","FR3T046","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"583","FR3T046","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"584","FR3T047","Prunus avium","0.33","Sweet_cherry_CRS_phenotyping_2011"
"585","FR3T047","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"586","FR3T050","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2011"
"587","FR3T050","Prunus avium","0.47","Sweet_cherry_CRS_phenotyping_2010"
"588","FR3T050","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"589","FR3T056","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2010"
"590","FR3T056","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2011"
"591","FR3T056","Prunus avium","0.45","Sweet_cherry_CRS_phenotyping_2012"
"592","FR3T057","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"593","FR3T057","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2010"
"594","FR3T057","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2011"
"595","FR3T058","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"596","FR3T058","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"597","FR42T001","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"598","FR42T003","Prunus avium","0.64","Sweet_cherry_CRS_phenotyping_2012"
"599","FR42T005","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"600","FR42T007","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"601","FR42T045","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"602","FR42T048","Prunus avium","0.28","Sweet_cherry_CRS_phenotyping_2011"
"603","FR42T048","Prunus avium","0.32","Sweet_cherry_CRS_phenotyping_2012"
"604","FR47T058","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"605","FR47T059","Prunus avium","0.45","Sweet_cherry_CRS_phenotyping_2012"
"606","FR5T019","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"607","FR5T019","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2011"
"608","FR5T021","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"609","FR5T021","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"610","FR5T021","Prunus avium","0.47","Sweet_cherry_CRS_phenotyping_2010"
"611","FR5T025","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"612","FR5T025","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"613","FR8T002","Prunus avium","0.47","Sweet_cherry_CRS_phenotyping_2012"
"614","FR8T002","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2011"
"615","FR8T003","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"616","FR8T003","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"617","FR8T004","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2012"
"618","FR8T005","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"619","FR8T006","Prunus avium","0.35","Sweet_cherry_CRS_phenotyping_2012"
"620","FR8T007","Prunus avium","0.41","Sweet_cherry_CRS_phenotyping_2012"
"621","FR8T010","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"622","FR8T011","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2011"
"623","FR8T011","Prunus avium","0.49","Sweet_cherry_CRS_phenotyping_2012"
"624","FR8T047","Prunus avium","0.51","Sweet_cherry_CRS_phenotyping_2012"
"625","FR8T053","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2012"
"626","FR8T057","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"627","FR8T057","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"628","FR9T031","Prunus avium","0.59","Sweet_cherry_CRS_phenotyping_2010"
"629","FR9T031","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2012"
"630","FR9T032","Prunus avium","0.43","Sweet_cherry_CRS_phenotyping_2010"
"631","FR9T032","Prunus avium","0.65","Sweet_cherry_CRS_phenotyping_2011"
"632","FR9T032","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2012"
"633","FR9T033","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2011"
"634","FR9T033","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2012"
"635","FR9T034","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"636","FR9T034","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"637","FR9T081","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"638","FR9T081","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"639","FR9T083","Prunus avium","0.31","Sweet_cherry_CRS_phenotyping_2012"
"640","FR9T083","Prunus avium","0.34","Sweet_cherry_CRS_phenotyping_2011"
"641","FR9T084","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"642","FR9T084","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"643","FR9T085","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2011"
"644","FR9T085","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"645","FR9T086","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2012"
"646","FR9T086","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"647","FR9T087","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"648","FR9T087","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"649","FR9T096","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"650","FR9T097","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2011"
"651","FR9T097","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"652","FR9T098","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"653","FR9T098","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2011"
"654","PC 9816-005","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2010"
"655","PC 9816-023","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2010"
"656","PC 9816-041","Prunus avium","0.59","Sweet_cherry_CRS_phenotyping_2010"
"657","PC 9816-059","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2010"
"658","PC 9816-083","Prunus avium","0.53","Sweet_cherry_CRS_phenotyping_2010"
"659","PC 9816-103","Prunus avium","0.63","Sweet_cherry_CRS_phenotyping_2010"
"660","PC 9816-105","Prunus avium","0.41","Sweet_cherry_CRS_phenotyping_2010"
"661","PC 9816-106","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2010"
"662","PC 9816-078","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2010"
"663","PC 9819-005","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2010"
"664","PC 9819-038","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2010"
"665","PC 9814-025","Prunus avium","0.43","Sweet_cherry_CRS_phenotyping_2010"
"666","PC 9814-103","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2010"
"667","PC 9814-105","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2010"
"668","PC 9814-028","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2010"
"669","PC 9814-062","Prunus avium","0.43","Sweet_cherry_CRS_phenotyping_2010"
"670","PC 9814-063","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2010"
"671","PC 9814-071","Prunus avium","0.49","Sweet_cherry_CRS_phenotyping_2010"
"672","PC 9814-076","Prunus avium","0.3","Sweet_cherry_CRS_phenotyping_2010"
"673","PC 9819-034","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2010"
"674","Unk10-Sdlg","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2011"
"675","Unk10-Sdlg","Prunus avium","0.64","Sweet_cherry_CRS_phenotyping_2012"
"676","Unk11-Sdlg","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"677","Unk11-Sdlg","Prunus avium","0.49","Sweet_cherry_CRS_phenotyping_2012"
"678","Unk12-Sdlg","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"679","Unk14-Sdlg","Prunus avium","0.35","Sweet_cherry_CRS_phenotyping_2011"
"680","Unk14-Sdlg","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"681","Unk15-Sdlg","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"682","Unk15-Sdlg","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2011"
"683","Unk15-Sdlg","Prunus avium","0.55","Sweet_cherry_CRS_phenotyping_2010"
"684","Unk16-Sdlg","Prunus avium","0.3","Sweet_cherry_CRS_phenotyping_2011"
"685","Unk16-Sdlg","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"686","Unk17-Sdlg","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2010"
"687","Unk1-Sdlg","Prunus avium","0.33","Sweet_cherry_CRS_phenotyping_2012"
"688","Unk20-Sdlg","Prunus avium","0.29","Sweet_cherry_CRS_phenotyping_2011"
"689","Unk22-Sdlg","Prunus avium","0.2","Sweet_cherry_CRS_phenotyping_2012"
"690","Unk23-Sdlg","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2012"
"691","Unk25-Sdlg","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"692","Unk25-Sdlg","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"693","Unk6-Sdlg","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"694","Unk9-Sdlg","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"695","Emperor Francis","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2011"
"696","Emperor Francis","Prunus avium","0.68","Sweet_cherry_CRS_phenotyping_2012"
"697","Black Republican","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"698","Black Republican","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"699","Krupnoplodnaya","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"700","Venus","Prunus avium","0.3","Sweet_cherry_CRS_phenotyping_2012"
"701","Venus","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"702","Moreau","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"703","Moreau","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2011"
"704","Index","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2012"
"705","Index","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2011"
"706","Index","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2010"
"707","Sunburst","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"708","Sunburst","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2011"
